# name	type	tags	description_or_title	npm_deps	payload_file
comp-137	component	checkbox,label,radix	checkbox/label/radix — variant 137		vendor/origin/r/comp-137.json
comp-138	component	checkbox,label,login,authentication,radix	checkbox/label/login — variant 138		vendor/origin/r/comp-138.json
comp-139	component	checkbox,label,radix	checkbox/label/radix — variant 139		vendor/origin/r/comp-139.json
comp-140	component	checkbox,label,radix	checkbox/label/radix — variant 140		vendor/origin/r/comp-140.json
comp-141	component	checkbox,label,radix	checkbox/label/radix — variant 141		vendor/origin/r/comp-141.json
comp-142	component	checkbox,label,collapsible,radix	checkbox/label/collapsible — variant 142		vendor/origin/r/comp-142.json
comp-143	component	checkbox,label,radix	checkbox/label/radix — variant 143		vendor/origin/r/comp-143.json
comp-144	component	checkbox,label,card,radix	checkbox/label/card — variant 144		vendor/origin/r/comp-144.json
comp-145	component	checkbox,label,card,radix	checkbox/label/card — variant 145		vendor/origin/r/comp-145.json
comp-146	component	checkbox,label,card,radix	checkbox/label/card — variant 146		vendor/origin/r/comp-146.json
comp-147	component	checkbox,label,card,radix	checkbox/label/card — variant 147		vendor/origin/r/comp-147.json
comp-148	component	checkbox,label,tree,radix	checkbox/label/tree — variant 148		vendor/origin/r/comp-148.json
comp-149	component	checkbox,label,week,calendar,radix	checkbox/label/week — variant 149		vendor/origin/r/comp-149.json
comp-150	component	checkbox,label,toggle,darkmode,radix	checkbox/label/toggle — variant 150		vendor/origin/r/comp-150.json
comp-151	component	checkbox,label,radix	checkbox/label/radix — variant 151		vendor/origin/r/comp-151.json
comp-152	component	radio,label,radix	radio/label/radix — variant 152		vendor/origin/r/comp-152.json
comp-153	component	radio,label,radix	radio/label/radix — variant 153		vendor/origin/r/comp-153.json
comp-154	component	radio,label,radix	radio/label/radix — variant 154		vendor/origin/r/comp-154.json
comp-155	component	radio,label,radix	radio/label/radix — variant 155		vendor/origin/r/comp-155.json
